timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
14.15,1786774903.1799,sample,"[1.56213, -1.48463, 1.98208, -2.26709, 4.65654, 0.0]","[-6.45283, -0.11144, 2.24609]",open,
14.25,1786774903.3052,sample,"[1.56197, -1.48009, 1.98207, -2.26709, 4.65654, 0.0]","[-6.45271, -0.1102, 2.24297]",open,
14.35,1786774903.428,sample,"[1.56192, -1.47843, 1.98207, -2.26709, 4.65654, 0.0]","[-6.45267, -0.10974, 2.24183]",open,
14.45,1786774903.5539,sample,"[1.5619, -1.47781, 1.98207, -2.26709, 4.65654, 0.0]","[-6.45266, -0.10958, 2.2414]",open,
14.55,1786774903.6883,sample,"[1.55359, -1.47759, 1.98207, -2.26709, 4.65654, -0.0]","[-6.44692, -0.10828, 2.24125]",open,
14.65,1786774903.8147,sample,"[1.51474, -1.47752, 1.98207, -2.26709, 4.65655, -0.0]","[-6.41994, -0.10307, 2.2412]",open,
14.75,1786774903.9426,sample,"[1.46405, -1.47747, 1.98207, -2.26709, 4.65656, 0.0]","[-6.38447, -0.09788, 2.24117]",open,
14.85,1786774904.0729,sample,"[1.43739, -1.47745, 1.98207, -2.26709, 4.65656, 0.0]","[-6.36572, -0.09587, 2.24116]",open,
14.95,1786774904.2012,sample,"[1.42758, -1.47745, 1.98207, -2.26709, 4.65656, 0.0]","[-6.35881, -0.09526, 2.24116]",open,
15.05,1786774904.3298,sample,"[1.42397, -1.47745, 1.98207, -2.26709, 4.65656, 0.0]","[-6.35627, -0.09505, 2.24116]",open,
15.15,1786774904.4551,sample,"[1.42264, -1.47745, 1.98207, -2.26709, 4.65656, 0.0]","[-6.35533, -0.09498, 2.24116]",open,
15.25,1786774904.5785,sample,"[1.42216, -1.47745, 1.98207, -2.26709, 4.65656, 0.0]","[-6.35499, -0.09495, 2.24116]",open,
15.35,1786774904.7064,sample,"[1.42198, -1.47745, 1.98207, -2.26709, 4.65656, 0.0]","[-6.35486, -0.09494, 2.24116]",open,
15.45,1786774904.8376,sample,"[1.42192, -1.47745, 1.97379, -2.26709, 4.65656, 0.0]","[-6.3544, -0.09214, 2.2464]",open,
15.55,1786774904.9698,sample,"[1.42191, -1.47745, 1.93496, -2.26709, 4.65656, 0.0]","[-6.35251, -0.07956, 2.27131]",open,
15.65,1786774905.1068,sample,"[1.4219, -1.47747, 1.89102, -2.26709, 4.65655, 0.0]","[-6.35054, -0.06651, 2.30007]",open,
15.75,1786774905.2395,sample,"[1.42189, -1.47746, 1.87273, -2.26709, 4.65655, 0.0]","[-6.34977, -0.06144, 2.3122]",open,
